First_Column,Second_Column,Third_Column
17027,7701,1
17074,7701,1
17085,7701,3
17094,7701,3
17103,7701,1
17235,7701,1
17290,7701,3
17297,7701,3
17480,7701,3
17586,7701,1
17639,7701,1
17723,7701,3
17867,7701,1
18081,7701,1
18093,7701,1
18213,7701,1
18286,7701,2
18324,7701,1
18424,7701,1
18430,7701,2
18817,7701,2
18833,7701,3
18884,7701,1
18915,7701,3
19001,7701,4
19078,7701,1
19100,7701,1
19284,7701,2
19370,7701,1
19383,7701,1
19420,7701,1
19502,7701,1
19754,7701,4
19845,7701,1
19967,7701,1
20055,7701,1
20080,7701,1
20116,7701,2
20286,7701,1
20328,7701,1
20631,7701,1
20944,7701,1
21093,7701,2
21117,7701,2
21343,7701,1
21384,7701,1
21407,7701,1
21445,7701,1
21510,7701,1
21550,7701,4
21684,7701,1
21712,7701,2
21804,7701,1
21817,7701,2
21835,7701,1
21937,7701,2
22076,7701,2
22224,7701,1
22319,7701,5
22348,7701,2
22394,7701,2
22513,7701,1
22524,7701,1
22600,7701,1
22717,7701,1
22817,7701,1
22830,7701,1
22876,7701,3
22885,7701,1
22922,7701,1
22971,7701,2
22972,7701,1
23040,7701,1
23263,7701,1
23343,7701,4
23438,7701,1
23484,7701,1
23817,7701,1
23859,7701,1
128,7705,1
156,7705,1
330,7705,1
339,7705,1
492,7705,1
502,7705,1
738,7705,2
897,7705,1
1035,7705,1
1053,7705,1
1281,7705,1
1452,7705,2
1620,7705,2
1733,7705,2
1743,7705,1
1756,7705,1
1771,7705,3
1803,7705,1
2290,7705,1
2400,7705,1
2530,7705,1
2756,7705,3
2793,7705,2
2844,7705,2
2850,7705,1
2878,7705,1
2968,7705,1
2982,7705,2
3013,7705,1
3161,7705,1
3276,7705,2
3279,7705,2
3449,7705,1
3550,7705,1
3635,7705,1
3716,7705,1
3906,7705,3
4138,7705,1
4164,7705,1
4180,7705,3
4259,7705,2
4275,7705,1
4381,7705,1
4518,7705,2
4519,7705,1
4590,7705,1
4767,7705,1
4851,7705,1
4935,7705,1
4965,7705,3
4999,7705,1
5131,7705,1
5229,7705,1
5266,7705,2
5394,7705,1
5612,7705,1
5767,7705,1
5783,7705,1
5829,7705,1
5850,7705,1
5854,7705,1
5955,7705,2
6421,7705,1
6540,7705,2
6706,7705,1
6817,7705,1
6865,7705,1
6883,7705,1
6898,7705,1
6927,7705,1
6941,7705,1
7223,7705,3
7259,7705,1
7274,7705,3
7461,7705,1
7502,7705,2
7671,7705,1
7864,7705,1
8072,7705,1
8185,7705,1
8307,7705,2
8447,7705,2
8469,7705,1
8548,7705,1
8911,7705,1
9110,7705,2
9210,7705,1
9288,7705,1
9650,7705,1
9762,7705,3
9945,7705,1
10070,7705,1
10218,7705,1
10366,7705,1
10587,7705,4
10660,7705,1
10670,7705,1
10749,7705,1
10957,7705,4
11009,7705,4
11035,7705,1
11133,7705,1
11390,7705,1
11433,7705,1
11886,7705,1
11980,7705,3
12002,7705,2
12136,7705,1
12178,7705,1
12471,7705,1
12779,7705,1
12847,7705,1
13013,7705,1
13047,7705,2
13093,7705,1
13192,7705,1
13219,7705,2
13280,7705,1
13350,7705,2
13425,7705,1
13477,7705,2
13729,7705,1
13960,7705,1
13995,7705,1
14217,7705,1
14244,7705,1
14312,7705,1
14387,7705,3
14498,7705,5
14529,7705,5
14849,7705,3
15359,7705,2
15407,7705,2
15431,7705,1
15537,7705,2
15570,7705,2
15712,7705,1
15991,7705,2
16317,7705,1
16363,7705,2
16415,7705,2
16591,7705,3
16593,7705,2
16689,7705,2
16752,7705,1
16777,7705,3
16874,7705,2
16932,7705,1
17058,7705,1
17066,7705,2
17151,7705,1
17291,7705,1
17480,7705,1
17501,7705,1
17701,7705,2
17803,7705,1
18031,7705,1
18214,7705,2
18617,7705,2
18618,7705,3
18701,7705,1
18833,7705,1
18884,7705,1
18974,7705,1
18978,7705,1
19015,7705,2
19037,7705,1
19284,7705,1
19709,7705,1
19745,7705,1
19754,7705,2
20013,7705,2
20050,7705,1
20080,7705,1
20187,7705,2
20396,7705,1
20598,7705,2
20621,7705,1
20628,7705,1
20680,7705,2
20976,7705,2
21042,7705,1
21279,7705,1
21375,7705,1
21416,7705,2
21510,7705,1
21542,7705,1
21565,7705,1
21746,7705,2
21941,7705,1
21954,7705,1
22278,7705,1
22348,7705,1
22365,7705,1
22394,7705,1
22428,7705,2
22587,7705,1
22616,7705,1
22733,7705,2
23263,7705,1
23361,7705,1
23456,7705,3
5,7707,1
85,7707,4
126,7707,2
138,7707,2
153,7707,1
317,7707,2
386,7707,1
404,7707,1
406,7707,3
414,7707,1
416,7707,1
476,7707,1
502,7707,1
608,7707,1
668,7707,3
989,7707,4
993,7707,1
1063,7707,2
1079,7707,2
1111,7707,2
1136,7707,1
1229,7707,2
1418,7707,1
1437,7707,1
1501,7707,1
1571,7707,1
1603,7707,1
1733,7707,1
1782,7707,1
1916,7707,1
2015,7707,1
2035,7707,1
2055,7707,4
2056,7707,1
2143,7707,1
2193,7707,1
2228,7707,2
2238,7707,2
2250,7707,1
2297,7707,1
2331,7707,1
2352,7707,1
2376,7707,1
2379,7707,1
2382,7707,1
2476,7707,1
2500,7707,2
2519,7707,1
2523,7707,1
2553,7707,1
2582,7707,1
2602,7707,1
2615,7707,6
2634,7707,1
2673,7707,2
2763,7707,3
2768,7707,2
2844,7707,7
2959,7707,3
2961,7707,1
2982,7707,2
3085,7707,2
3138,7707,1
3161,7707,1
3179,7707,2
3204,7707,1
3279,7707,3
3289,7707,1
3298,7707,2
3390,7707,1
3421,7707,1
3449,7707,2
3527,7707,1
3615,7707,2
3617,7707,3
3624,7707,2
3649,7707,3
3658,7707,1
3806,7707,1
3865,7707,1
3904,7707,3
3926,7707,1
4164,7707,2
4275,7707,1
4295,7707,2
4315,7707,2
4374,7707,1
4388,7707,2
4442,7707,1
4484,7707,2
4528,7707,1
4533,7707,1
4581,7707,1
4591,7707,1
4635,7707,1
4674,7707,1
4685,7707,2
4770,7707,1
4976,7707,1
4980,7707,1
5000,7707,1
5058,7707,1
5074,7707,3
5077,7707,1
5176,7707,1
5227,7707,3
5229,7707,3
5232,7707,1
5239,7707,1
5254,7707,2
5256,7707,1
5303,7707,1
5405,7707,1
5445,7707,1
5499,7707,2
5503,7707,2
5509,7707,1
5518,7707,1
5567,7707,6
5586,7707,1
5829,7707,1
5850,7707,1
5854,7707,3
5912,7707,2
5967,7707,2
5998,7707,1
6023,7707,3
6064,7707,1
6089,7707,2
6125,7707,1
6180,7707,1
6217,7707,1
6248,7707,2
6303,7707,1
6794,7707,1
6916,7707,2
6941,7707,1
7000,7707,1
7031,7707,1
7047,7707,1
7054,7707,1
7071,7707,1
7087,7707,1
7223,7707,5
7257,7707,1
7259,7707,1
7277,7707,1
7414,7707,2
7446,7707,1
7474,7707,1
7550,7707,1
7600,7707,1
7607,7707,1
7681,7707,1
7710,7707,1
7725,7707,2
7744,7707,2
7800,7707,6
7864,7707,2
7933,7707,1
8030,7707,2
8042,7707,2
8204,7707,2
8234,7707,1
8296,7707,1
8301,7707,1
8336,7707,1
8469,7707,1
8579,7707,1
8608,7707,1
8624,7707,3
8653,7707,2
8866,7707,2
8899,7707,1
8912,7707,1
9062,7707,2
9078,7707,1
9204,7707,1
9288,7707,1
9297,7707,3
9344,7707,1
9496,7707,1
9520,7707,2
9584,7707,1
9610,7707,1
9629,7707,1
9638,7707,1
9640,7707,2
9817,7707,2
9838,7707,1
9856,7707,2
9936,7707,1
9973,7707,3
10017,7707,2
10043,7707,2
10082,7707,1
10126,7707,2
10209,7707,2
10247,7707,1
10304,7707,1
10589,7707,1
10591,7707,1
10640,7707,1
10645,7707,1
10800,7707,1
10882,7707,1
11009,7707,1
11054,7707,1
11133,7707,1
11286,7707,1
11330,7707,1
11382,7707,2
11390,7707,1
11442,7707,1
11482,7707,2
11765,7707,1
11794,7707,1
11820,7707,2
11822,7707,1
11840,7707,1
11889,7707,1
11896,7707,1
11957,7707,1
12085,7707,1
12165,7707,2
12268,7707,1
12388,7707,1
12418,7707,1
12428,7707,1
12433,7707,2
12441,7707,1
12646,7707,3
12653,7707,1
12660,7707,2
12691,7707,1
12703,7707,2
13052,7707,1
13131,7707,1
13146,7707,1
13160,7707,1
13186,7707,1
13207,7707,1
13211,7707,3
13263,7707,1
13280,7707,1
13311,7707,1
13350,7707,1
13373,7707,1
13385,7707,3
13462,7707,1
13465,7707,1
13477,7707,4
13682,7707,2
13697,7707,1
13736,7707,1
13793,7707,2
13837,7707,1
13898,7707,1
13916,7707,3
13941,7707,1
14115,7707,1
14134,7707,1
14145,7707,2
14154,7707,1
14213,7707,1
14529,7707,10
14631,7707,1
14652,7707,1
14709,7707,8
14710,7707,2
14726,7707,2
14748,7707,1
14928,7707,2
14957,7707,3
15049,7707,2
15160,7707,3
15167,7707,1
15189,7707,1
15208,7707,1
15220,7707,1
15236,7707,1
15260,7707,1
15289,7707,2
15308,7707,3
15342,7707,1
15349,7707,1
15357,7707,1
15393,7707,2
15403,7707,2
15550,7707,1
15635,7707,3
15665,7707,1
15667,7707,2
15678,7707,1
15714,7707,2
15722,7707,2
15731,7707,1
15764,7707,1
15923,7707,1
15958,7707,1
15994,7707,2
16042,7707,2
16082,7707,1
16272,7707,1
16288,7707,1
16351,7707,4
16352,7707,1
16363,7707,5
16373,7707,2
16465,7707,1
16595,7707,4
16663,7707,2
16664,7707,1
16750,7707,1
16771,7707,1
16777,7707,1
16808,7707,1
16932,7707,1
16996,7707,1
17058,7707,1
17077,7707,1
17097,7707,1
17241,7707,1
17290,7707,2
17366,7707,2
17437,7707,2
17461,7707,1
17480,7707,5
17508,7707,3
17567,7707,3
17586,7707,1
17639,7707,1
17646,7707,1
17690,7707,3
17708,7707,1
17790,7707,2
17819,7707,1
17836,7707,1
17847,7707,1
17968,7707,3
18006,7707,1
18031,7707,1
18135,7707,1
18152,7707,1
18169,7707,1
18212,7707,1
18278,7707,1
18302,7707,3
18324,7707,3
18353,7707,1
18372,7707,2
18386,7707,1
18447,7707,3
18555,7707,1
18617,7707,2
18638,7707,1
18649,7707,3
18654,7707,1
18667,7707,1
18701,7707,3
18803,7707,1
18813,7707,1
18817,7707,1
18884,7707,2
18931,7707,1
18943,7707,1
18988,7707,1
18999,7707,1
19007,7707,2
19061,7707,2
19086,7707,2
19273,7707,3
19284,7707,11
19286,7707,2
19342,7707,1
19413,7707,1
19478,7707,3
19484,7707,1
19524,7707,3
19641,7707,1
19722,7707,2
19745,7707,1
19754,7707,1
19764,7707,1
19791,7707,1
19931,7707,4
19967,7707,4
20037,7707,1
20154,7707,3
20328,7707,1
20350,7707,1
20457,7707,1
20489,7707,1
20558,7707,1
20737,7707,2
20771,7707,2
20804,7707,1
20837,7707,1
20852,7707,1
20870,7707,1
21005,7707,2
21100,7707,3
21103,7707,1
21164,7707,1
21375,7707,2
21537,7707,3
21752,7707,1
21826,7707,3
21848,7707,1
21892,7707,2
21941,7707,1
21989,7707,1
22020,7707,1
22034,7707,1
22115,7707,1
22140,7707,1
22348,7707,2
22376,7707,1
22469,7707,2
22478,7707,3
22600,7707,1
22627,7707,2
22688,7707,1
22708,7707,1
22717,7707,1
22817,7707,1
23263,7707,1
23460,7707,1
23864,7707,1
109,7710,2
147,7710,1
185,7710,2
237,7710,1
274,7710,1
404,7710,1
455,7710,3
478,7710,1
502,7710,1
635,7710,2
664,7710,1
813,7710,2
1079,7710,1
1179,7710,1
1205,7710,3
1307,7710,1
1372,7710,1
1433,7710,4
1474,7710,2
1603,7710,1
1864,7710,1
1902,7710,1
2056,7710,1
2073,7710,1
2095,7710,2
2290,7710,1
2379,7710,1
2480,7710,1
2495,7710,3
2529,7710,1
2588,7710,1
2763,7710,2
2832,7710,2
2980,7710,1
2981,7710,2
2986,7710,1
3066,7710,1
3153,7710,1
3324,7710,2
3529,7710,2
3617,7710,1
3735,7710,3
3780,7710,1
3790,7710,1
3866,7710,1
4066,7710,3
4163,7710,3
4164,7710,1
4192,7710,2
4224,7710,2
4321,7710,1
4379,7710,2
4579,7710,3
4669,7710,1
4766,7710,1
4972,7710,2
5147,7710,1
5266,7710,1
5389,7710,2
5463,7710,1
5523,7710,1
5856,7710,1
6071,7710,2
6147,7710,1
6414,7710,1
6524,7710,2
6794,7710,1
6981,7710,1
6998,7710,1
7117,7710,1
7553,7710,2
7607,7710,1
7632,7710,1
8074,7710,1
8168,7710,1
8211,7710,1
8307,7710,3
8369,7710,1
8519,7710,3
8624,7710,4
8789,7710,1
8933,7710,2
8962,7710,1
9019,7710,3
9035,7710,2
9111,7710,2
9162,7710,1
9885,7710,2
9936,7710,1
10022,7710,1
10218,7710,1
10226,7710,1
10294,7710,1
10303,7710,1
10403,7710,1
10915,7710,1
11030,7710,2
11053,7710,1
11054,7710,1
11304,7710,1
11309,7710,3
11390,7710,2
11396,7710,1
11478,7710,1
11503,7710,1
11912,7710,2
12006,7710,2
12170,7710,1
12258,7710,1
12304,7710,1
12352,7710,2
12599,7710,1
12639,7710,1
12653,7710,1
12705,7710,1
12908,7710,1
13265,7710,1
13298,7710,1
13477,7710,1
13657,7710,1
13960,7710,2
14016,7710,1
14498,7710,3
14529,7710,1
14582,7710,1
14887,7710,2
15016,7710,1
15053,7710,3
15121,7710,1
15160,7710,1
15261,7710,3
15731,7710,1
15780,7710,1
15870,7710,1
15914,7710,1
16047,7710,1
16179,7710,1
16502,7710,3
16563,7710,1
16660,7710,1
16727,7710,1
16808,7710,1
17010,7710,1
17026,7710,1
17036,7710,1
17171,7710,1
17366,7710,1
17461,7710,2
17480,7710,3
17512,7710,1
17620,7710,1
17791,7710,1
17803,7710,2
17824,7710,1
18036,7710,2
18093,7710,1
18174,7710,1
18407,7710,1
18430,7710,1
18470,7710,1
18815,7710,2
18817,7710,1
18884,7710,1
19003,7710,1
19086,7710,1
19144,7710,2
19269,7710,1
19273,7710,1
19284,7710,1
19709,7710,1
19714,7710,2
19835,7710,1
19967,7710,1
20187,7710,1
20413,7710,2
20983,7710,2
21003,7710,1
21042,7710,3
21279,7710,3
21333,7710,1
21375,7710,2
21418,7710,1
21799,7710,2
21805,7710,1
21954,7710,1
22020,7710,1
22034,7710,1
22231,7710,1
22317,7710,1
22319,7710,1
22376,7710,2
22471,7710,3
22504,7710,3
22978,7710,1
23006,7710,1
23325,7710,2
23524,7710,1
23643,7710,1
48,7715,3
185,7715,1
386,7715,2
406,7715,3
429,7715,1
455,7715,3
456,7715,1
502,7715,1
525,7715,1
678,7715,1
873,7715,1
899,7715,1
902,7715,3
905,7715,4
916,7715,1
1059,7715,1
1162,7715,1
1187,7715,2
1229,7715,1
1425,7715,3
1615,7715,2
1756,7715,1
1782,7715,3
1803,7715,5
1837,7715,2
2079,7715,4
2238,7715,1
2382,7715,2
2500,7715,2
2519,7715,1
2553,7715,1
2634,7715,1
2641,7715,2
2844,7715,3
2850,7715,1
2929,7715,3
2931,7715,2
2961,7715,1
3016,7715,1
3096,7715,1
3112,7715,1
3121,7715,2
3324,7715,1
3365,7715,1
3393,7715,1
3394,7715,2
3617,7715,1
3659,7715,1
3725,7715,1
4095,7715,2
4127,7715,1
4189,7715,1
4221,7715,1
4250,7715,1
4518,7715,1
4541,7715,1
4574,7715,1
4690,7715,1
4798,7715,1
4967,7715,1
5155,7715,3
5229,7715,1
5256,7715,2
5267,7715,1
5445,7715,1
5507,7715,2
5854,7715,2
5936,7715,2
5952,7715,1
5955,7715,1
5997,7715,1
6006,7715,1
6064,7715,1
6099,7715,2
6147,7715,2
6160,7715,2
6227,7715,1
6248,7715,3
6414,7715,1
6439,7715,1
6524,7715,1
6525,7715,2
6876,7715,1
6901,7715,3
6918,7715,2
6941,7715,1
6962,7715,1
6981,7715,3
7016,7715,1
7174,7715,1
7257,7715,2
7259,7715,1
7268,7715,1
7317,7715,2
7358,7715,1
7414,7715,2
7550,7715,2
7602,7715,1
7715,7715,1
7967,7715,2
8075,7715,1
8296,7715,1
8313,7715,1
8407,7715,5
8608,7715,1
8703,7715,2
8728,7715,1
8915,7715,1
8920,7715,1
8950,7715,1
9024,7715,2
9125,7715,1
9288,7715,1
9340,7715,1
9371,7715,1
9649,7715,1
9920,7715,3
9973,7715,4
9977,7715,1
10043,7715,1
10082,7715,5
10304,7715,2
10393,7715,2
10528,7715,1
10796,7715,2
10800,7715,1
11009,7715,1
11390,7715,1
11426,7715,1
11603,7715,1
12085,7715,1
12152,7715,1
12365,7715,1
12577,7715,2
12646,7715,5
12703,7715,1
12872,7715,2
12889,7715,1
13047,7715,2
13062,7715,2
